positionOpenDate,positionTitle,appointmentType,maximumSalary,workSchedule,salaryType,state,clean_positionTitle,skill_set_0,skill_set_1,skill_set_2,year_month
2016-06-30,"Physician (Assistant Chief Of Staff, Primary Care)",Permanent,250000.0,Full-time,Per Year,North Dakota,physician primary care,0.08803269925073526,0.0833656856826261,0.8286016150666387,2016-06
2015-12-05,Aviation Technical Systems Specialist (Lead Planner),Permanent,138845.0,Full-time,Per Year,Georgia,aviation technical systems planner,0.06677264712782995,0.8608369351221592,0.07239041775001084,2015-12
2016-12-06,Physician Primary Care,Permanent,225000.0,Full-time,Per Year,West Virginia,physician primary care,0.08803269925073526,0.0833656856826261,0.8286016150666387,2016-12
2017-05-18,Legal Administrative Specialist,Agency Employees Only,69289.0,Full-time,Per Year,Louisiana,legal administrative,0.11152903191247163,0.7769158569691813,0.11155511111834707,2017-05
2015-12-09,"Electronics Technician, ZT-0856-IV (GS-11/12 equivalent)",Permanent,99296.0,Full-time,Per Year,Maryland,electronics technician,0.77513128118975,0.11359404917932373,0.11127466963092611,2015-12
2016-12-06,Physician (Open/Continuous) PACT TEAM,Multiple,210000.0,Multiple Schedules,Per Year,Massachusetts,physician pact team,0.8286908229407753,0.08342487008384991,0.08788430697537461,2016-12
2015-12-22,Educational Technician (Office Automation),Permanent,52043.0,Full-time,Per Year,Virginia,educational technician office automation,0.8582374942955988,0.07490254078116011,0.06685996492324095,2015-12
2015-12-16,"Survey Clerk (OA), GS-0303-05, CENSUS-M-DMM",Permanent,44572.0,Full-time,Per Year,Colorado,survey clerk dmm,0.09546141253833637,0.8208908234695387,0.08364776399212495,2015-12
2017-01-04,AIRPLANE PILOT (Military Requirement),Multiple,53229.0,Full-time,Per Year,Colorado,airplane pilot,0.11126383399150146,0.11127645173751037,0.7774597142709881,2017-01
2015-12-17,Management and Program Analyst,Permanent,80319.0,Full-time,Per Year,California,management,0.17420889284498384,0.6590287816573406,0.16676232549767558,2015-12
2017-03-29,"Staff Physician (Section Chief, Dermatology)",Permanent,400000.0,Full-time,Per Year,New Mexico,physician section dermatology,0.8278385784362076,0.08376587341765088,0.08839554814614142,2017-03
2017-09-04,Messenger (Motor Vehicle Operator),Permanent,34331.0,Full-time,Per Year,Texas,messenger motor vehicle operator,0.8601914156786681,0.06991196961606157,0.06989661470527027,2017-09
2015-12-23,"Governmental Affairs Specialist, GS-0301-11/12 (Open to Status & VEOA Applicants) AB",Permanent,99296.0,Full-time,Per Year,District of Columbia,governmental affairs veoa applicants,0.06937349979377518,0.06703699408076796,0.8635895061254568,2015-12
2017-09-01,"Physician (Assistant Chief, Radiology)",Permanent,400000.0,Full-time,Per Year,Tennessee,physician radiology,0.7669999085709672,0.11133123961341405,0.12166885181561886,2017-09
2015-12-23,Administrative Specialist,Permanent,65748.0,Full-time,Per Year,Georgia,administrative,0.16681635968319816,0.666358029632336,0.16682561068446589,2015-12
2015-12-23,Administrative Specialist,Permanent,65748.0,Full-time,Per Year,Georgia,administrative,0.16681635968319816,0.666358029632336,0.16682561068446589,2015-12
2016-12-19,Physician (Orthopedic Surgeon),Permanent,375000.0,Full-time,Per Year,West Virginia,physician orthopedic surgeon,0.08817454377315788,0.0834611232773924,0.8283643329494498,2016-12
2017-01-04,Command Post Specialist (Military Requirement),Multiple,56229.0,Full-time,Per Year,California,command post,0.11166325565144204,0.7765740535381154,0.11176269081044247,2017-01
2016-12-19,Physician (Hospitalist),Permanent,240000.0,Full-time,Per Year,West Virginia,physician hospitalist,0.767526134759881,0.11116159611215157,0.12131226912796743,2016-12
2017-01-04,Aircraft Pneudraulic Systems Mechanic (Fuels) - Military Requirement,Multiple,26.81,Full-time,Per Hour,California,aircraft pneudraulic systems mechanic fuels,0.055681884159013144,0.05651801205712578,0.8878001037838611,2017-01
2017-01-04,Aircraft Pneudraulic Systems Mechanic (Hydraulic) - Military Requirement,Multiple,26.81,Full-time,Per Hour,California,aircraft pneudraulic systems mechanic hydraulic,0.05568188415907761,0.05651801205771828,0.8878001037832041,2017-01
